"","UniqueID","StateAbbr","CityName","Cancer_value","Binge_value","Smoke_value","LPA_value","Sleep_value","Obesity_value"
"81","1831000","IN","Hammond",5.7,16,22.9,33.7,41.1,39.4
"82","1836003","IN","Indianapolis",6.1,18,23.8,27.6,36.3,33.2
"83","1840788","IN","Lafayette",6.3,15.7,21.9,27.1,34.5,33.4
"84","1851876","IN","Muncie",6.2,15.4,25.8,30.5,37.8,38.6
"85","1871000","IN","South Bend",6,17,25.4,32.3,40.8,39.4
"86","1912000","IA","Cedar Rapids",6.5,20.6,16.8,22.1,28.4,32.9
"87","1919000","IA","Davenport",6.3,21.6,19.9,24.1,30.6,33.1
"88","1921000","IA","Des Moines",6.2,19.2,21.9,25.2,32.7,33.3
"89","1938595","IA","Iowa City",6.2,21.1,15,20.1,27.5,28.5
"90","1973335","IA","Sioux City",6.2,19.5,20.1,26.5,29.3,37
"91","1982425","IA","Waterloo",6.2,21.5,20.2,26.4,30.4,35.6
"92","203000","AK","Anchorage",6.1,18.2,17.2,18.2,30.7,27.5
"93","2036000","KS","Kansas City",5.7,14,24.8,35.6,36.9,43.8
"94","2038900","KS","Lawrence",6.2,18,16.5,19.4,29.6,29
"95","2052575","KS","Olathe",6.1,18.8,14.7,17.4,26.7,25.6
"96","2053775","KS","Overland Park",6.2,18.8,12.4,15,25.6,23.7
"97","2071000","KS","Topeka",6.2,14.5,20.5,25.7,33.1,37.2
"98","2079000","KS","Wichita",6.3,14.8,22.3,26.9,35.6,31.6
"99","2146027","KY","Lexington",6.3,17.5,20.2,25.4,39.2,33.2
